player_id,display_name
00-0000136,Brent Alexander
00-0000518,Billy Austin
00-0000551,Brendon Ayanbadejo
00-0001058,Jay Bellamy
00-0001114,Tommy Bennett
00-0001368,Tony Blevins
00-0001481,Vaughn Booker
00-0001526,Jason Bostic
00-0001760,O.J. Brigance
00-0001816,Zack Bronson
00-0001934,Fakhir Brown
00-0002142,Junior Bryant
00-0002583,Lamar Campbell
00-0002666,Keion Carpenter
00-0002688,Mark Carrier
00-0002909,Matt Chatham
00-0002919,Corey Chavous
00-0002938,Larry Chester
00-0003111,Charlie Clemons
00-0003187,George Coghill
00-0003239,Rod Coleman
00-0003316,Todd F. Collins
00-0003547,Terry Cousin
00-0003676,Clifton Crosby
00-0003838,Lional Dalton
00-0003888,Chartric Darby
00-0003970,Don Davis
00-0004208,Tim Denton
00-0004472,Marques Douglas
00-0004875,Percy Ellsworth
00-0004989,Josh Evans
00-0005074,D'Marco Farr
00-0005155,Nick Ferguson
00-0005165,Frank Ferrara
00-0005322,London Fletcher
00-0006103,Jeff Gooch
00-0006250,Billy Granville
00-0006356,Victor Green
00-0006395,Donovan Greer
00-0006459,Robert Griffith
00-0006562,Brock Gutierrez
00-0006636,Jermaine Haley
00-0006708,Bobby Hamilton
00-0006733,Uhuru Hamiter
00-0006760,William Hampton
00-0006920,Bernardo Harris
00-0006960,Johnnie Harris
00-0007089,Harald Hasselbach
00-0007108,Tim Hauck
00-0007186,Rodney Heath
00-0007236,Nate Hemsley
00-0007325,Kelly Herndon
00-0007375,Eric Hicks
00-0007450,Raion Hill
00-0007452,Ray Hill
00-0007531,Nate Hobgood-Chittick
00-0007667,Bernard Holsey
00-0007788,Bobbie Howard
00-0008075,Larry Izzo
00-0008202,Tyoka Jackson
00-0008335,Billy Jenkins
00-0008594,Olrick Johnson
00-0008764,James Jones
00-0008811,Lenoy Jones
00-0008823,Mike A. Jones
00-0008941,Kerry Joseph
00-0009001,N. D. Kalu
00-0009115,Maurice Kelly
00-0009305,Travis Kirschke
00-0009357,Sammy Knight
00-0009418,George Koonce
00-0009659,Kwamie Lassiter
00-0009833,Bashir Levingston
00-0009971,Earl Little
00-0010029,James Logan
00-0010175,Rick Lyle
00-0010196,Billy Lyon
00-0010421,Lemar Marshall
00-0010486,Lonnie Marts
00-0010496,Mike Maslowski
00-0010535,Kevin Mathis
00-0010645,Tod McBride
00-0010717,Andy McCollum
00-0010970,Ronald McKinnon
00-0011234,Arnold Miller
00-0011390,Anthony Mitchell
00-0011413,Keith Mitchell
00-0011464,Mike Mohring
00-0011570,Jason Moore
00-0011585,Larry Moore
00-0011629,Tim Morabito
00-0011796,Mustafah Muhammad
00-0012005,Jim Nelson
00-0012135,Brandon Noble
00-0012229,Chukie Nwokorie
