,player_id,display_name,entry_year,last_name_initial
0,00-0000136,Brent Alexander,1994,A
422,00-0024073,Remi Ayodele,2007,A
462,00-0025668,Michael Adams,1987,A
481,00-0025940,Husain Abdullah,2008,A
404,00-0023812,Colin Allred,2007,A
494,00-0026071,Kyle Arrington,2009,A
511,00-0026605,Russell Allen,2009,A
388,00-0023501,Oshiomogho Atogwe,2005,A
353,00-0023005,Adrian Awasom,2005,A
346,00-0022771,Eugene Amano,2004,A
577,00-0028533,Mister Alexander,2011,A
578,00-0028564,Isa Abdul-Quddus,2011,A
324,00-0022342,Eric Alexander,2004,A
583,00-0028614,Alex Albright,2011,A
339,00-0022569,Roc Alexander,2004,A
447,00-0024734,Antwan Applewhite,2008,A
1,00-0000518,Billy Austin,1998,A
302,00-0021709,Kenderick Allen,2003,A
2,00-0000551,Brendon Ayanbadejo,2003,A
251,00-0020811,James Atkins,1994,A
230,00-0020240,Kole Ayi,2001,A
232,00-0020295,Brian Allen,2001,A
418,00-0024008,Quincy Butler,2006,B
177,00-0019129,Ainsley Battles,2000,B
414,00-0023918,Jarrett Bush,2006,B
194,00-0019472,Marcus Bell,2000,B
405,00-0023814,Copeland Bryan,2007,B
222,00-0020110,Jason Bell,2001,B
403,00-0023807,John Busing,2006,B
402,00-0023781,Antwon Burton,2006,B
395,00-0023693,Chase Blackburn,2005,B
313,00-0022056,Rod Babers,2003,B
303,00-0021723,Mark Brown,1983,B
383,00-0023404,Atari Bigby,2005,B
371,00-0023219,Tim Bulman,2005,B
357,00-0023053,James Butler,2005,B
355,00-0023013,Brandon Browner,2011,B
235,00-0020382,Kyle Vanden Bosch,2001,B
445,00-0024697,Melvin Bullitt,2007,B
335,00-0022521,Rashad Baker,2004,B
332,00-0022409,Jordan Babineaux,2004,B
279,00-0021484,Gary Brackett,2003,B
281,00-0021490,Tony Brown,1987,B
294,00-0021612,Leigh Bodden,2003,B
319,00-0022278,Ryan Boschetti,2004,B
234,00-0020317,Kendrell Bell,2001,B
387,00-0023485,Ron Bartell,2005,B
415,00-0023945,Ricky Brown,2006,B
571,00-0028311,Brandon Bair,2014,B
600,00-0029628,Christo Bilukidi,2012,B
592,00-0029118,Kaelin Burnett,2012,B
579,00-0028575,Bront Bird,2011,B
454,00-0024815,Tyron Brackenridge,2007,B
11,00-0002142,Junior Bryant,1995,B
10,00-0001934,Fakhir Brown,1999,B
541,00-0027338,Aaron Berry,2010,B
9,00-0001816,Zack Bronson,1997,B
535,00-0027232,Sergio Brown,2010,B
602,00-0029770,Joplo Bartu,2013,B
526,00-0026869,Jovan Belcher,2009,B
518,00-0026742,Marcus Benard,2009,B
8,00-0001760,O.J. Brigance,1996,B
7,00-0001526,Jason Bostic,1999,B
620,00-0031138,Max Bullough,2014,B
6,00-0001481,Vaughn Booker,1994,B
493,00-0026057,Josh Bell,2008,B
488,00-0026001,Titus Brown,2008,B
5,00-0001368,Tony Blevins,1998,B
475,00-0025833,Patrick Bailey,2008,B
3,00-0001058,Jay Bellamy,1994,B
4,00-0001114,Tommy Bennett,1996,B
515,00-0026683,Ryan Baker,2009,B
457,00-0025599,Courtney Brown,2000,B
295,00-0021613,Oliver Celestin,2004,C
187,00-0019293,Deke Cooper,2002,C
199,00-0019630,Kendrick Clancy,2000,C
622,00-0031283,Scott Crichton,2014,C
290,00-0021578,Nic Clemons,2005,C
282,00-0021493,Vinny Ciurciu,2003,C
287,00-0021542,Jacques Cesaire,2003,C
209,00-0019852,Donte Curry,2001,C
211,00-0019945,Dyshod Carter,2001,C
259,00-0020971,Khary Campbell,2002,C
254,00-0020840,Ryan Clark,1984,C
231,00-0020259,DeVone Claybrooks,2002,C
288,00-0021544,Stephen Cooper,2003,C
237,00-0020422,Chris Cooper,2001,C
442,00-0024670,Kyle Cook,2008,C
329,00-0022356,Jordan Carstens,2004,C
439,00-0024588,Marquice Cole,2009,C
438,00-0024565,Quinton Culberson,2007,C
427,00-0024129,Blake Costanzo,2007,C
421,00-0024058,John Chick,2011,C
466,00-0025714,Jeremy Clark,2008,C
471,00-0025764,Jon Corto,2008,C
408,00-0023847,Jeff Charleston,2007,C
501,00-0026356,Landon Cohen,2008,C
505,00-0026515,Tony Carter,1994,C
392,00-0023566,Chris Canty,1997,C
391,00-0023537,Sean Considine,2005,C
534,00-0027209,Antonio Coleman,2010,C
538,00-0027248,Jermelle Cudjo,2010,C
539,00-0027263,Nate Collins,2010,C
354,00-0023008,Chris Carr,2005,C
554,00-0027649,Chris Cook,2010,C
344,00-0022713,Ricardo Colclough,2004,C
340,00-0022588,Josh Cooper,2004,C
556,00-0027661,Jermaine Cunningham,2010,C
565,00-0028051,Chimdi Chekwa,2011,C
333,00-0022477,Curome Cox,2005,C
309,00-0021888,Dwaine Carpenter,2003,C
163,00-0018612,Phil Clarke,1999,C
312,00-0021964,Earl Cochran,2006,C
17,00-0002938,Larry Chester,1998,C
12,00-0002583,Lamar Campbell,1998,C
13,00-0002666,Keion Carpenter,1999,C
16,00-0002919,Corey Chavous,1998,C
23,00-0003676,Clifton Crosby,1999,C
18,00-0003111,Charlie Clemons,1997,C
22,00-0003547,Terry Cousin,1997,C
19,00-0003187,George Coghill,1998,C
21,00-0003316,Todd F. Collins,1992,C
15,00-0002909,Matt Chatham,2000,C
20,00-0003239,Rod Coleman,1999,C
14,00-0002688,Mark Carrier,1987,C
24,00-0003838,Lional Dalton,1998,D
260,00-0020974,Keith Davis,2002,D
342,00-0022592,Curtis Deloatch,2004,D
255,00-0020861,Will Demps,2002,D
478,00-0025872,Kyle DeVan,2009,D
507,00-0026541,Antonio Dixon,2009,D
564,00-0028019,DeMarcus Van Dyke,2011,D
28,00-0004472,Marques Douglas,2000,D
452,00-0024796,Craig Dahl,2007,D
491,00-0026043,Marcus Dixon,2010,D
458,00-0025605,Zac Diles,2007,D
576,00-0028479,Demarcus Dobbs,2011,D
586,00-0028694,James Dockery,2011,D
464,00-0025689,Mike DeVito,2007,D
591,00-0029038,Marcus Dowtin,2012,D
27,00-0004208,Tim Denton,1998,D
25,00-0003888,Chartric Darby,2001,D
186,00-0019285,Jerry DeLoach,2001,D
618,00-0030917,Chris Davis,1987,D
432,00-0024288,Dusty Dvoracek,2007,D
26,00-0003970,Don Davis,1966,D
429,00-0024178,Kevin Dockery,2006,D
358,00-0023068,Patrick Dendy,2005,D
615,00-0030644,Akeem Davis,2014,D
249,00-0020800,Justin Ena,2002,E
29,00-0004875,Percy Ellsworth,1996,E
30,00-0004989,Josh Evans,1995,E
384,00-0023405,Abram Elam,2006,E
430,00-0024201,Hiram Eugene,2007,E
376,00-0023313,Isaiah Ekejiuba,2005,E
363,00-0023114,Dovonte Edwards,2005,E
207,00-0019809,Troy Evans,2002,E
218,00-0020055,Demetric Evans,2001,E
252,00-0020824,Vernon Fox,2002,F
483,00-0025991,Eric Foster,2008,F
32,00-0005155,Nick Ferguson,2000,F
34,00-0005322,London Fletcher,1998,F
510,00-0026581,Rob Francois,2010,F
33,00-0005165,Frank Ferrara,2001,F
31,00-0005074,D'Marco Farr,1994,F
178,00-0019133,Hank Fraley,2001,F
263,00-0021008,Trev Faulk,2004,F
369,00-0023213,Aaron Francisco,2005,F
350,00-0022932,Ryan Fowler,2004,F
425,00-0024097,Jamaal Fudge,2006,F
608,00-0030215,Glenn Foster,2013,F
370,00-0023215,Heath Farwell,2005,F
365,00-0023174,Simon Fraser,2005,F
351,00-0022997,Andre Frazier,2005,F
624,00-0031467,T.J. Fatinikun,2014,F
536,00-0027237,Dane Fletcher,2010,F
280,00-0021487,Anthony Floyd,2003,F
36,00-0006250,Billy Granville,1997,G
416,00-0023998,Steve Gregory,2006,G
407,00-0023825,Charles Gordon,2006,G
200,00-0019637,Orantes Grant,2000,G
423,00-0024075,Cletis Gordon,2006,G
473,00-0025821,Gary Guyton,2008,G
38,00-0006395,Donovan Greer,1997,G
525,00-0026837,Danny Gorrer,2009,G
