,player_id,season,player_display_name,age,def_sacks,def_tackles
4210,00-0014358,1999,Warren Sapp,27,12.5,27
4211,00-0014358,2000,Warren Sapp,28,15.5,42
4212,00-0014358,2001,Warren Sapp,29,6.0,28
4213,00-0014358,2002,Warren Sapp,30,7.5,40
4214,00-0014358,2003,Warren Sapp,31,5.0,36
4215,00-0014358,2004,Warren Sapp,32,2.5,31
4216,00-0014358,2005,Warren Sapp,33,4.5,28
4217,00-0014358,2006,Warren Sapp,34,10.0,32
4218,00-0014358,2007,Warren Sapp,35,2.0,37
4696,00-0015795,1999,Michael Strahan,28,5.5,43
4697,00-0015795,2000,Michael Strahan,29,9.5,51
4698,00-0015795,2001,Michael Strahan,30,22.5,60
4699,00-0015795,2002,Michael Strahan,31,11.0,56
4700,00-0015795,2003,Michael Strahan,32,18.0,60
4701,00-0015795,2004,Michael Strahan,33,4.0,25
4702,00-0015795,2005,Michael Strahan,34,11.5,61
4703,00-0015795,2006,Michael Strahan,35,3.0,28
4704,00-0015795,2007,Michael Strahan,36,9.0,45
10920,00-0022695,2004,Jason Babin,24,4.0,51
10921,00-0022695,2005,Jason Babin,25,4.0,26
10922,00-0022695,2006,Jason Babin,26,5.0,19
10923,00-0022695,2008,Jason Babin,28,2.0,26
10924,00-0022695,2009,Jason Babin,29,3.0,10
10925,00-0022695,2010,Jason Babin,30,12.5,44
10926,00-0022695,2011,Jason Babin,31,18.0,35
10927,00-0022695,2012,Jason Babin,32,7.0,28
10928,00-0022695,2013,Jason Babin,33,7.5,31
10929,00-0022695,2014,Jason Babin,34,2.0,14
10930,00-0022695,2015,Jason Babin,35,0.0,0
12108,00-0023445,2005,DeMarcus Ware,23,8.0,47
12109,00-0023445,2006,DeMarcus Ware,24,12.0,59
12110,00-0023445,2007,DeMarcus Ware,25,14.0,60
12111,00-0023445,2008,DeMarcus Ware,26,20.0,69
12112,00-0023445,2009,DeMarcus Ware,27,11.0,45
12113,00-0023445,2010,DeMarcus Ware,28,15.5,56
12114,00-0023445,2011,DeMarcus Ware,29,19.5,46
12115,00-0023445,2012,DeMarcus Ware,30,11.5,33
12116,00-0023445,2013,DeMarcus Ware,31,6.0,28
12117,00-0023445,2014,DeMarcus Ware,32,10.0,32
12118,00-0023445,2015,DeMarcus Ware,33,7.5,17
12119,00-0023445,2016,DeMarcus Ware,34,4.0,9
23704,00-0031388,2014,Aaron Donald,23,9.0,38
23705,00-0031388,2015,Aaron Donald,24,11.0,44
23706,00-0031388,2016,Aaron Donald,25,8.0,36
23707,00-0031388,2017,Aaron Donald,26,11.0,32
23708,00-0031388,2018,Aaron Donald,27,20.5,41
23709,00-0031388,2019,Aaron Donald,28,12.5,29
23710,00-0031388,2020,Aaron Donald,29,13.5,27
23711,00-0031388,2021,Aaron Donald,30,12.5,38
23712,00-0031388,2022,Aaron Donald,31,5.0,27
23713,00-0031388,2023,Aaron Donald,32,8.0,28
27116,00-0033886,2017,T.J. Watt,23,7.0,39
27117,00-0033886,2018,T.J. Watt,24,13.0,48
27118,00-0033886,2019,T.J. Watt,25,14.5,35
27119,00-0033886,2020,T.J. Watt,26,15.0,43
27120,00-0033886,2021,T.J. Watt,27,22.5,48
27121,00-0033886,2022,T.J. Watt,28,5.5,27
27122,00-0033886,2023,T.J. Watt,29,19.0,47
27123,00-0033886,2024,T.J. Watt,30,11.5,40
27339,00-0033935,2017,Trey Hendrickson,23,2.0,7
27340,00-0033935,2018,Trey Hendrickson,24,0.0,7
27341,00-0033935,2019,Trey Hendrickson,25,4.5,11
27342,00-0033935,2020,Trey Hendrickson,26,13.5,22
27343,00-0033935,2021,Trey Hendrickson,27,14.0,21
27344,00-0033935,2022,Trey Hendrickson,28,8.0,22
27345,00-0033935,2023,Trey Hendrickson,29,17.5,28
27346,00-0033935,2024,Trey Hendrickson,30,17.5,33
29671,00-0035717,2019,Nick Bosa,22,9.0,32
29672,00-0035717,2020,Nick Bosa,23,0.0,3
29673,00-0035717,2021,Nick Bosa,24,15.5,40
29674,00-0035717,2022,Nick Bosa,25,18.5,41
29675,00-0035717,2023,Nick Bosa,26,10.5,34
29676,00-0035717,2024,Nick Bosa,27,9.0,33
